2016-10-11 00:00:00.000 001     9999.00 999999.00 999999.00 999999.00
2016-10-11 01:32:00.000 001      334.40  27549.70  30207.60  40883.80
2016-10-11 01:33:00.000 001      334.40  27550.00  30207.60  40884.00
2016-10-11 01:34:00.000 001      334.40  27549.80  30207.60  40883.90
2016-10-11 01:35:00.000 001      334.40  27550.00  30207.60  40884.00
2016-10-11 01:36:00.000 001      334.40  27549.80  30207.60  40883.90
2016-10-11 01:37:00.000 001      334.40  27549.90  30207.50  40883.90
2016-10-11 01:38:00.000 001      334.40  27550.00  30207.40  40883.90
2016-10-11 01:39:00.000 001      334.40  27549.80  30207.50  40883.80
2016-10-11 01:40:00.000 001      334.50  27549.40  30207.60  40883.70
2016-10-11 01:41:00.000 001      334.50  27549.40  30207.40  40883.50
2016-10-11 01:42:00.000 001      334.40  27549.30  30207.40  40883.40
2016-10-11 01:43:00.000 001      334.40  27549.20  30207.50  40883.40
2016-10-11 01:44:00.000 001      334.40  27549.00  30207.60  40883.30
2016-10-11 01:45:00.000 001      334.40  27549.30  30207.40  40883.40
2016-10-11 01:46:00.000 001      334.40  27549.00  30207.60  40883.30
2016-10-11 01:47:00.000 001      334.40  27549.20  30207.20  40883.20
2016-10-11 01:48:00.000 001      334.50  27548.80  30207.50  40883.10
2016-10-11 01:49:00.000 001      334.40  27549.00  30207.30  40883.10
2016-10-11 01:50:00.000 001      334.40  27548.90  30207.40  40883.10
2016-10-11 01:51:00.000 001      334.50  27548.70  30207.50  40883.00
2016-10-11 01:52:00.000 001      334.50  27548.40  30207.50  40882.90
2016-10-11 01:53:00.000 001      334.50  27548.70  30207.50  40883.10
2016-10-11 01:54:00.000 001      334.50  27548.70  30207.40  40883.00
2016-10-11 01:55:00.000 001      334.50  27549.10  30207.30  40883.20
2016-10-11 01:56:00.000 001      334.50  27549.00  30207.50  40883.30
2016-10-11 01:57:00.000 001      334.50  27549.40  30207.30  40883.40
2016-10-11 01:58:00.000 001      334.50  27549.30  30207.50  40883.40
2016-10-11 01:59:00.000 001      334.50  27549.70  30207.30  40883.60
2016-10-11 02:00:00.000 001      334.50  27549.60  30207.50  40883.70
2016-10-11 02:01:00.000 001      334.50  27549.50  30207.60  40883.70
2016-10-11 02:02:00.000 001      334.50  27549.90  30207.30  40883.70
2016-10-11 02:03:00.000 001      334.50  27549.60  30207.60  40883.70
2016-10-11 02:04:00.000 001      334.50  27550.10  30207.40  40884.00
2016-10-11 02:05:00.000 001      334.50  27549.80  30207.50  40883.80
2016-10-11 02:06:00.000 001      334.50  27549.80  30207.60  40883.90
2016-10-11 02:07:00.000 001      334.50  27549.70  30207.30  40883.50
2016-10-11 02:08:00.000 001      334.50  27549.40  30207.40  40883.40
2016-10-11 02:09:00.000 001      334.50  27549.50  30207.40  40883.50
2016-10-11 02:10:00.000 001      334.50  27549.70  30207.40  40883.60
2016-10-11 02:11:00.000 001      334.50  27549.80  30207.30  40883.60
2016-10-11 02:12:00.000 001      334.50  27549.90  30207.40  40883.80
2016-10-11 02:13:00.000 001      334.40  27550.10  30207.30  40883.90
2016-10-11 02:14:00.000 001      334.50  27550.10  30207.30  40883.90
2016-10-11 02:15:00.000 001      334.40  27550.40  30207.30  40884.10
2016-10-11 02:16:00.000 001      334.40  27550.10  30207.30  40883.90
2016-10-11 02:17:00.000 001      334.40  27550.40  30207.60  40884.30
2016-10-11 02:18:00.000 001      334.40  27550.50  30207.40  40884.20
2016-10-11 02:19:00.000 001      334.40  27550.60  30207.50  40884.30
2016-10-11 02:20:00.000 001      334.40  27550.60  30207.40  40884.30
2016-10-11 02:21:00.000 001      334.40  27550.40  30207.50  40884.20
2016-10-11 02:22:00.000 001      334.40  27550.40  30207.50  40884.20
2016-10-11 02:23:00.000 001      334.40  27550.60  30207.40  40884.30
2016-10-11 02:24:00.000 001      334.40  27550.30  30207.60  40884.20
2016-10-11 02:25:00.000 001      334.40  27550.70  30207.30  40884.30
2016-10-11 02:26:00.000 001      334.40  27550.30  30207.40  40884.10
2016-10-11 02:27:00.000 001      334.40  27550.20  30207.60  40884.10
2016-10-11 02:28:00.000 001      334.40  27550.20  30207.60  40884.20
2016-10-11 02:29:00.000 001      334.40  27550.30  30207.50  40884.20
2016-10-11 02:30:00.000 001      334.40  27550.30  30207.60  40884.20
2016-10-11 02:31:00.000 001      334.40  27550.30  30207.50  40884.10
2016-10-11 02:32:00.000 001      334.40  27550.20  30207.50  40884.10
2016-10-11 02:33:00.000 001      334.40  27549.80  30207.40  40883.70
2016-10-11 02:34:00.000 001      334.40  27549.90  30207.40  40883.80
2016-10-11 02:35:00.000 001      334.40  27549.80  30207.30  40883.70
2016-10-11 02:36:00.000 001      334.40  27549.70  30207.50  40883.80
2016-10-11 02:37:00.000 001      334.40  27549.80  30207.40  40883.70
2016-10-11 02:38:00.000 001      334.40  27549.90  30207.50  40883.90
2016-10-11 02:39:00.000 001      334.40  27549.70  30207.60  40883.80
2016-10-11 02:40:00.000 001      334.40  27549.70  30207.60  40883.80
2016-10-11 02:41:00.000 001      334.40  27549.60  30207.40  40883.60
2016-10-11 02:42:00.000 001      334.50  27549.30  30207.60  40883.50
2016-10-11 02:43:00.000 001      334.40  27549.00  30207.70  40883.50
2016-10-11 02:44:00.000 001      334.40  27549.50  30207.60  40883.70
2016-10-11 02:45:00.000 001      334.40  27549.30  30207.60  40883.50
2016-10-11 02:46:00.000 001      334.40  27549.30  30207.50  40883.40
2016-10-11 02:47:00.000 001      334.50  27549.10  30207.60  40883.40
2016-10-11 02:48:00.000 001      334.40  27549.30  30207.50  40883.40
2016-10-11 02:49:00.000 001      334.40  27549.20  30207.50  40883.40
2016-10-11 02:50:00.000 001      334.40  27549.10  30207.40  40883.30
2016-10-11 02:51:00.000 001      334.50  27549.10  30207.60  40883.40
2016-10-11 02:52:00.000 001      334.50  27549.20  30207.50  40883.40
2016-10-11 02:53:00.000 001      334.50  27549.40  30207.40  40883.50
2016-10-11 02:54:00.000 001      334.40  27549.80  30207.60  40883.90
2016-10-11 02:55:00.000 001      334.40  27550.20  30207.50  40884.10
2016-10-11 02:56:00.000 001      334.40  27550.60  30207.60  40884.50
2016-10-11 02:57:00.000 001      334.40  27550.70  30207.60  40884.50
2016-10-11 02:58:00.000 001      334.40  27551.00  30207.70  40884.70
2016-10-11 02:59:00.000 001      334.40  27550.90  30207.60  40884.60
2016-10-11 03:00:00.000 001      334.40  27551.00  30207.70  40884.70
2016-10-11 03:01:00.000 001      334.40  27551.00  30207.90  40884.90
2016-10-11 03:02:00.000 001      334.40  27550.90  30207.80  40884.80
2016-10-11 03:03:00.000 001      334.40  27550.90  30207.80  40884.80
2016-10-11 03:04:00.000 001      334.40  27551.00  30207.80  40884.90
2016-10-11 03:05:00.000 001      334.40  27550.90  30207.90  40884.80
2016-10-11 03:06:00.000 001      334.50  27550.90  30207.90  40884.90
2016-10-11 03:07:00.000 001      334.40  27551.00  30207.70  40884.80
2016-10-11 03:08:00.000 001      334.40  27551.00  30207.90  40884.90
2016-10-11 03:09:00.000 001      334.50  27551.10  30207.90  40885.00
2016-10-11 03:10:00.000 001      334.50  27551.00  30207.90  40884.90
2016-10-11 03:11:00.000 001      334.50  27551.00  30207.90  40884.90
2016-10-11 03:12:00.000 001      334.50  27550.90  30207.70  40884.70
2016-10-11 03:13:00.000 001      334.40  27551.00  30207.70  40884.80
2016-10-11 03:14:00.000 001      334.40  27551.00  30207.80  40884.90
2016-10-11 03:15:00.000 001      334.40  27550.80  30207.90  40884.80
2016-10-11 03:16:00.000 001      334.40  27550.90  30207.90  40884.90
2016-10-11 03:17:00.000 001     9999.00 999999.00 999999.00 999999.00
2016-10-11 03:18:00.000 001      334.40  27550.60  30207.90  40884.70
2016-10-11 03:19:00.000 001      334.40  27550.80  30207.70  40884.60
2016-10-11 03:20:00.000 001      334.40  27550.90  30207.90  40884.80
2016-10-11 03:21:00.000 001      334.40  27550.90  30207.90  40884.80
2016-10-11 03:22:00.000 001      334.40  27550.80  30207.90  40884.80
2016-10-11 03:23:00.000 001      334.40  27551.00  30207.90  40885.00
2016-10-11 03:24:00.000 001      334.40  27551.00  30208.00  40885.00
2016-10-11 03:25:00.000 001      334.40  27551.00  30207.90  40884.90
2016-10-11 03:26:00.000 001      334.40  27551.00  30207.90  40885.00
2016-10-11 03:27:00.000 001      334.40  27551.20  30207.80  40885.00
2016-10-11 03:28:00.000 001      334.40  27551.00  30207.90  40884.90
2016-10-11 03:29:00.000 001      334.40  27550.70  30208.00  40884.80
2016-10-11 03:30:00.000 001      334.40  27551.00  30207.80  40884.80
2016-10-11 03:31:00.000 001      334.40  27550.60  30207.80  40884.60
2016-10-11 03:32:00.000 001      334.40  27550.70  30207.80  40884.60
2016-10-11 03:33:00.000 001      334.40  27550.70  30207.90  40884.70
2016-10-11 03:34:00.000 001      334.40  27550.80  30207.80  40884.70
2016-10-11 03:35:00.000 001      334.40  27550.70  30207.80  40884.60
2016-10-11 03:36:00.000 001      334.40  27550.70  30207.90  40884.70
2016-10-11 03:37:00.000 001      334.40  27550.50  30207.90  40884.60
2016-10-11 03:38:00.000 001      334.40  27550.60  30207.70  40884.50
2016-10-11 03:39:00.000 001      334.40  27550.50  30207.70  40884.40
2016-10-11 03:40:00.000 001      334.40  27550.50  30207.80  40884.50
2016-10-11 03:41:00.000 001      334.40  27550.40  30207.70  40884.40
2016-10-11 03:42:00.000 001      334.40  27550.50  30207.90  40884.60
2016-10-11 03:43:00.000 001      334.40  27550.60  30207.80  40884.50
2016-10-11 03:44:00.000 001      334.40  27550.30  30207.90  40884.40
2016-10-11 03:45:00.000 001      334.50  27550.50  30207.90  40884.60
2016-10-11 03:46:00.000 001      334.50  27550.60  30207.90  40884.70
2016-10-11 03:47:00.000 001      334.50  27550.80  30207.80  40884.70
2016-10-11 03:48:00.000 001      334.50  27550.90  30207.80  40884.80
2016-10-11 03:49:00.000 001      334.50  27551.00  30207.70  40884.80
2016-10-11 03:50:00.000 001      334.50  27551.00  30207.70  40884.80
2016-10-11 03:51:00.000 001      334.50  27551.10  30207.80  40884.90
2016-10-11 03:52:00.000 001      334.50  27551.30  30207.70  40885.00
2016-10-11 03:53:00.000 001      334.50  27551.20  30207.80  40885.00
2016-10-11 03:54:00.000 001      334.50  27551.30  30207.60  40884.90
2016-10-11 03:55:00.000 001      334.50  27551.00  30207.80  40884.90
2016-10-11 03:56:00.000 001      334.50  27551.10  30207.70  40884.80
2016-10-11 03:57:00.000 001      334.50  27551.30  30207.70  40885.00
2016-10-11 03:58:00.000 001      334.50  27551.50  30207.70  40885.10
2016-10-11 03:59:00.000 001      334.50  27551.60  30207.80  40885.30
2016-10-11 04:00:00.000 001      334.40  27551.80  30207.60  40885.30
2016-10-11 04:01:00.000 001      334.40  27551.90  30207.60  40885.40
2016-10-11 04:02:00.000 001      334.40  27552.00  30207.80  40885.50
2016-10-11 04:03:00.000 001      334.40  27552.20  30207.50  40885.50
2016-10-11 04:04:00.000 001      334.40  27552.20  30207.70  40885.60
2016-10-11 04:05:00.000 001      334.40  27552.60  30207.60  40885.80
2016-10-11 04:06:00.000 001      334.40  27552.60  30207.70  40885.80
2016-10-11 04:07:00.000 001      334.40  27552.40  30207.80  40885.80
2016-10-11 04:08:00.000 001      334.40  27552.30  30207.80  40885.70
2016-10-11 04:09:00.000 001      334.40  27551.90  30207.80  40885.40
2016-10-11 04:10:00.000 001      334.30  27551.80  30207.60  40885.30
2016-10-11 04:11:00.000 001      334.30  27551.70  30207.60  40885.20
2016-10-11 04:12:00.000 001      334.40  27551.50  30207.70  40885.10
2016-10-11 04:13:00.000 001      334.30  27551.20  30207.80  40885.00
2016-10-11 04:14:00.000 001      334.30  27551.00  30207.70  40884.80
2016-10-11 04:15:00.000 001      334.40  27551.10  30207.80  40884.90
2016-10-11 04:16:00.000 001      334.40  27551.10  30207.60  40884.80
2016-10-11 04:17:00.000 001      334.40  27551.10  30207.60  40884.70
2016-10-11 04:18:00.000 001      334.40  27551.10  30207.80  40884.90
2016-10-11 04:19:00.000 001      334.40  27551.30  30207.70  40885.00
2016-10-11 04:20:00.000 001      334.40  27551.30  30207.80  40885.10
2016-10-11 04:21:00.000 001      334.40  27551.70  30207.80  40885.30
2016-10-11 04:22:00.000 001      334.40  27551.80  30207.80  40885.40
2016-10-11 04:23:00.000 001      334.40  27551.90  30207.80  40885.50
2016-10-11 04:24:00.000 001      334.40  27552.00  30207.80  40885.50
2016-10-11 04:25:00.000 001      334.40  27552.00  30207.80  40885.50
2016-10-11 04:26:00.000 001      334.40  27551.90  30207.70  40885.40
2016-10-11 04:27:00.000 001      334.40  27551.90  30207.70  40885.40
2016-10-11 04:28:00.000 001      334.40  27552.10  30207.60  40885.50
2016-10-11 04:29:00.000 001      334.40  27551.90  30207.80  40885.40
2016-10-11 04:30:00.000 001      334.30  27552.20  30207.70  40885.60
2016-10-11 04:31:00.000 001      334.30  27552.20  30207.70  40885.60
2016-10-11 04:32:00.000 001      334.30  27552.20  30207.70  40885.60
2016-10-11 04:33:00.000 001      334.30  27552.10  30207.60  40885.50
2016-10-11 04:34:00.000 001      334.30  27552.10  30207.70  40885.50
2016-10-11 04:35:00.000 001      334.30  27552.10  30207.60  40885.50
2016-10-11 04:36:00.000 001      334.30  27551.90  30207.60  40885.40
2016-10-11 04:37:00.000 001      334.30  27551.90  30207.60  40885.40
2016-10-11 04:38:00.000 001      334.30  27552.10  30207.80  40885.60
2016-10-11 04:39:00.000 001      334.30  27552.40  30207.80  40885.80
2016-10-11 04:40:00.000 001      334.30  27552.40  30207.70  40885.70
2016-10-11 04:41:00.000 001      334.30  27552.40  30207.70  40885.70
2016-10-11 04:42:00.000 001      334.30  27552.70  30207.70  40885.90
2016-10-11 04:43:00.000 001      334.30  27552.90  30207.70  40886.00
2016-10-11 04:44:00.000 001      334.30  27552.80  30207.90  40886.10
2016-10-11 04:45:00.000 001      334.30  27552.80  30207.80  40886.00
2016-10-11 04:46:00.000 001      334.30  27552.60  30207.90  40885.90
2016-10-11 04:47:00.000 001      334.30  27552.40  30207.70  40885.70
2016-10-11 04:48:00.000 001      334.30  27552.20  30207.60  40885.50
2016-10-11 04:49:00.000 001      334.40  27552.20  30207.60  40885.50
2016-10-11 04:50:00.000 001      334.30  27552.40  30207.50  40885.60
2016-10-11 04:51:00.000 001      334.40  27552.20  30207.70  40885.60
2016-10-11 04:52:00.000 001      334.40  27552.70  30207.60  40885.90
2016-10-11 04:53:00.000 001      334.40  27552.90  30207.60  40885.90
2016-10-11 04:54:00.000 001      334.40  27552.70  30207.70  40885.90
2016-10-11 04:55:00.000 001      334.40  27553.00  30207.70  40886.10
2016-10-11 04:56:00.000 001      334.40  27552.90  30207.80  40886.10
2016-10-11 04:57:00.000 001      334.40  27552.90  30207.80  40886.10
2016-10-11 04:58:00.000 001      334.40  27552.60  30207.70  40885.80
2016-10-11 04:59:00.000 001      334.40  27552.30  30207.70  40885.70
2016-10-11 05:00:00.000 001      334.40  27552.20  30207.70  40885.60
2016-10-11 05:01:00.000 001      334.40  27552.20  30207.80  40885.70
2016-10-11 05:02:00.000 001      334.40  27552.20  30207.80  40885.60
2016-10-11 05:03:00.000 001      334.40  27552.10  30207.80  40885.60
2016-10-11 05:04:00.000 001      334.40  27552.10  30207.70  40885.50
2016-10-11 05:05:00.000 001      334.40  27552.20  30207.80  40885.60
2016-10-11 05:06:00.000 001      334.40  27552.00  30207.70  40885.50
2016-10-11 05:07:00.000 001      334.40  27552.10  30207.70  40885.50
2016-10-11 05:08:00.000 001      334.40  27551.90  30207.80  40885.50
2016-10-11 05:09:00.000 001      334.30  27552.10  30207.80  40885.60
2016-10-11 05:10:00.000 001      334.30  27552.20  30207.80  40885.60
2016-10-11 05:11:00.000 001      334.30  27552.10  30207.70  40885.50
2016-10-11 05:12:00.000 001      334.30  27551.90  30207.90  40885.50
2016-10-11 05:13:00.000 001      334.30  27552.00  30207.80  40885.50
2016-10-11 05:14:00.000 001      334.30  27552.10  30207.90  40885.60
2016-10-11 05:15:00.000 001      334.30  27552.10  30207.70  40885.50
2016-10-11 05:16:00.000 001      334.30  27552.10  30207.70  40885.50
2016-10-11 05:17:00.000 001      334.30  27552.10  30207.70  40885.50
2016-10-11 05:18:00.000 001      334.30  27551.90  30207.70  40885.40
2016-10-11 05:19:00.000 001      334.20  27551.90  30207.70  40885.40
2016-10-11 05:20:00.000 001      334.20  27551.90  30207.60  40885.40
2016-10-11 05:21:00.000 001      334.20  27551.90  30207.70  40885.40
2016-10-11 05:22:00.000 001      334.20  27552.00  30207.60  40885.40
2016-10-11 05:23:00.000 001      334.30  27552.10  30207.60  40885.50
2016-10-11 05:24:00.000 001      334.30  27552.00  30207.70  40885.50
2016-10-11 05:25:00.000 001      334.20  27552.00  30207.60  40885.40
2016-10-11 05:26:00.000 001      334.20  27552.10  30207.60  40885.50
2016-10-11 05:27:00.000 001      334.20  27552.10  30207.60  40885.50
2016-10-11 05:28:00.000 001      334.20  27551.90  30207.70  40885.40
2016-10-11 05:29:00.000 001      334.20  27551.70  30207.70  40885.30
2016-10-11 05:30:00.000 001      334.20  27551.30  30207.60  40884.90
2016-10-11 05:31:00.000 001      334.20  27551.20  30207.60  40884.80
2016-10-11 05:32:00.000 001      334.20  27550.90  30207.50  40884.50
2016-10-11 05:33:00.000 001      334.20  27551.00  30207.30  40884.50
2016-10-11 05:34:00.000 001      334.20  27551.00  30207.40  40884.60
2016-10-11 05:35:00.000 001      334.20  27551.30  30207.40  40884.70
2016-10-11 05:36:00.000 001      334.30  27551.60  30207.50  40885.00
2016-10-11 05:37:00.000 001      334.30  27552.20  30207.50  40885.40
2016-10-11 05:38:00.000 001      334.30  27552.70  30207.50  40885.80
2016-10-11 05:39:00.000 001      334.30  27553.20  30207.50  40886.10
2016-10-11 05:40:00.000 001      334.30  27553.40  30207.60  40886.30
2016-10-11 05:41:00.000 001      334.20  27553.50  30207.60  40886.30
2016-10-11 05:42:00.000 001      334.20  27553.40  30207.60  40886.30
2016-10-11 05:43:00.000 001      334.20  27553.30  30207.60  40886.30
2016-10-11 05:44:00.000 001      334.10  27553.20  30207.60  40886.20
2016-10-11 05:45:00.000 001      334.10  27553.10  30207.60  40886.10
2016-10-11 05:46:00.000 001      334.10  27553.00  30207.50  40886.00
2016-10-11 05:47:00.000 001      334.10  27553.00  30207.60  40886.10
2016-10-11 05:48:00.000 001      334.10  27553.10  30207.60  40886.10
2016-10-11 05:49:00.000 001      334.10  27553.00  30207.60  40886.00
2016-10-11 05:50:00.000 001      334.10  27552.90  30207.60  40886.00
2016-10-11 05:51:00.000 001      334.10  27552.80  30207.60  40885.90
2016-10-11 05:52:00.000 001      334.10  27552.70  30207.60  40885.80
2016-10-11 05:53:00.000 001      334.20  27552.60  30207.50  40885.70
2016-10-11 05:54:00.000 001      334.10  27552.50  30207.50  40885.60
2016-10-11 05:55:00.000 001      334.20  27552.20  30207.50  40885.50
2016-10-11 05:56:00.000 001      334.20  27552.10  30207.50  40885.30
2016-10-11 05:57:00.000 001      334.20  27551.90  30207.50  40885.20
2016-10-11 05:58:00.000 001      334.20  27552.10  30207.50  40885.30
2016-10-11 05:59:00.000 001      334.20  27552.40  30207.50  40885.60
2016-10-11 06:00:00.000 001      334.20  27552.70  30207.50  40885.80
2016-10-11 06:01:00.000 001      334.20  27552.70  30207.60  40885.80
2016-10-11 06:02:00.000 001      334.20  27552.60  30207.50  40885.70
2016-10-11 06:03:00.000 001      334.20  27552.70  30207.60  40885.80
2016-10-11 06:04:00.000 001      334.20  27552.80  30207.60  40885.90
2016-10-11 06:05:00.000 001      334.20  27552.60  30207.60  40885.80
2016-10-11 06:06:00.000 001      334.20  27552.60  30207.60  40885.70
2016-10-11 06:07:00.000 001      334.20  27552.40  30207.60  40885.70
2016-10-11 06:08:00.000 001      334.20  27552.20  30207.60  40885.50
2016-10-11 06:09:00.000 001      334.20  27552.10  30207.60  40885.40
2016-10-11 06:10:00.000 001      334.20  27552.00  30207.60  40885.40
2016-10-11 06:11:00.000 001      334.20  27551.90  30207.60  40885.40
2016-10-11 06:12:00.000 001      334.20  27551.80  30207.60  40885.30
2016-10-11 06:13:00.000 001      334.30  27551.70  30207.60  40885.20
2016-10-11 06:14:00.000 001      334.30  27551.60  30207.60  40885.00
2016-10-11 06:15:00.000 001      334.30  27551.30  30207.60  40884.90
2016-10-11 06:16:00.000 001      334.30  27551.20  30207.60  40884.80
2016-10-11 06:17:00.000 001      334.30  27551.10  30207.60  40884.80
2016-10-11 06:18:00.000 001      334.30  27551.00  30207.60  40884.70
2016-10-11 06:19:00.000 001      334.30  27551.00  30207.60  40884.60
2016-10-11 06:20:00.000 001      334.30  27550.80  30207.60  40884.50
2016-10-11 06:21:00.000 001      334.30  27551.00  30207.60  40884.60
2016-10-11 06:22:00.000 001      334.40  27551.00  30207.70  40884.70
2016-10-11 06:23:00.000 001      334.40  27550.90  30207.60  40884.60
2016-10-11 06:24:00.000 001      334.40  27551.00  30207.60  40884.70
2016-10-11 06:25:00.000 001      334.30  27551.00  30207.60  40884.70
2016-10-11 06:26:00.000 001      334.30  27551.20  30207.60  40884.80
