2002-08-02 00:00:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:01:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:02:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:03:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:04:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:05:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:06:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:07:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:08:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:09:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:10:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:11:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:12:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:13:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:14:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:15:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:16:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:17:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:18:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:19:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:20:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:21:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:22:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:23:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:24:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:25:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:26:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:27:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:28:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:29:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:30:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:31:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:32:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:33:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:34:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:35:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:36:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:37:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:38:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:39:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:40:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:41:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:42:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:43:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:44:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:45:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:46:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:47:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:48:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:49:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:50:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:51:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:52:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:53:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:54:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:55:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:56:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:57:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:58:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 00:59:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:00:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:01:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:02:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:03:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:04:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:05:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:06:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:07:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:08:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:09:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:10:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:11:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:12:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:13:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:14:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:15:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:16:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:17:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:18:00.000 001      999.00  99999.00  99999.00  99999.00
2002-08-02 01:19:00.000 001      999.00  99999.00  99999.00  99999.00
